service;datetime;message;emosi
twitter;6/14/2023 19:06;Dpt dri mana nomer sy? Mohon atensinya @Telkomsel soalnya sering jg modusnya jasa pengiriman dan minta KTP dll, syukurnya ngak smpe gubris. Ini ganggu kenyamanan banget, soalnya biar tengah malam jga panggilan msuk terus. Sehari bisa 2-4 kali ada nomer ngak jelas gitu msuk.;1
twitter;6/17/2023 15:52;min @Telkomsel ini jaringan telkomsel dari kemarin ko jelek banget ya ? mana butuh banget buat ngelarin kerjaan;1
twitter;6/19/2023 19:04;@Telkomsel WOI TELKONTOL, KAPAN KONEKSI INTERNET DI BANJARMASIN DI PERBAIKI, UDAH 4 HARI GAK STABILNYA, GUA DIKEROYOK TUGAS UAS BANGSAT, GAK BISA NGIRIM GARA GARA LU LEMOT KONTOL;1
twitter;6/23/2023 23:10;@EryelTomo @Telkomsel Bener banget, jaringannya lagi parah;1
twitter;7/4/2023 17:00;Ini whatsapp gue kok gak bisa nerima pdf apa sinyal telkomsel yg jelek;1
twitter;7/19/2023 9:36;Agak sus anjir tetiba dapet kode verifikasi telkomsel padahal ga akses apa2, ITU KENAPA YA??;1
twitter;7/30/2023 20:12;"Ada yg tau ga cara biar telpon telpon spam di telkomsel ini berenti? Sumpah ganggu banget.

Gua bener bener jadi males angkat telpon gegara spam penipuan gini.
Yang ribet kalo ada telpon yg beneran urgent-_- https://t.co/XXU1RgZgoK";1
twitter;8/18/2023 2:28;@cinnamongirlc bener bgt! ganti pake @Telkomsel sering di SMS, WA, sama tlfn nomor2 aneh, kadang bukan dari +62 dan pada WA pesen sayur di gue dikata gue jualan sayur kali ya, ganggu bgt sumpahðŸ˜«;1
twitter;8/17/2023 18:48;Hai @Telkomsel ini ganggu banget loh spam calls per jam 18.47 wib ada kali 10x dan terdeteksi fraud https://t.co/xzeK3kKr8q;1
twitter;8/19/2023 16:47;"telkomsel gaada fitur auto block nomor scammer / spammer apa? yang bener aja ini di telpon unknown number yg di cek isi tagnya: penipu, gajelas, spam, anjing siapa?
seharian dr jam 8,9,10,11,12,13,14,15,16 ada telpon indikasi msh 1 org gini 
. lu bayangin klo report satu2 CAPE la https://t.co/puCjz3iccC";1
twitter;6/7/2023 11:15;@Telkomsel Iyaa benaarrr.. males aja gitu ngangkat nomer gak dikenal apalagi no pribadi..;1
twitter;7/4/2023 11:58;"Males bgt tiba"" dapet notif dari telkomsel kalo nomor gw mau mati karna gapernah isi pulsa, padahal beli paket sampe mau meninggoy mahalnya ga ke itung itu nyawa kartu nya, harus beli pulsa biar nyawa kartu nya nambah, aneh aneh";1
twitter;6/3/2023 0:42;@Telkomsel Kok saya tetep ga bisa ya, tetap harus bayar langganan. Bisa tolong dibantu?;1
twitter;6/3/2023 14:46;"Halo @aduanPPI tolong bantu usutdan blokir nomor 081277820246 karena telah mengaku2 sebagai ayah saya dan meminta uang lewat Whatsapp..

Cc : 
@Telkomsel @simPATI 
#penipuan #penipu #ScamAlert";1
twitter;6/3/2023 21:40;@Heraloebss Udah beberapa kali ditelepon CS @Telkomsel ditawarin migrasi ke Halo. Dan beberapa kali pun saya tolak. Sepertinya keputusan yang pas sampai dengan saat ini. Takut jebol tagihannya dan malas konfirmasi atau debat2 an.;1
twitter;6/3/2023 23:06;@Telkomsel  gimana nih waduh jadi ngeri  pake telkomsel https://t.co/7ao8GZWrrA;1
twitter;6/4/2023 18:57;"Min @Telkomsel tolong dong ini knp ya
Saya isi kuota OMG 1bln yg 10GB kenapa dapetnya cuma 5.8GB?? https://t.co/uetULgWtyM";1
twitter;6/3/2023 20:18;takut bgt apalagi sekeluarga pakai sim ini https://t.co/8YRJ8r7TTC;1
twitter;6/4/2023 0:49;@Heraloebss â€¦kan serem semua mobile banking pakai nomor itu, tapi billing kartu halonya dikirimkan ke orang lain. Akhirnya dengan berat hati stop pakai nomor itu, ganti nomor dan ngulang semua dari awal. Ternyata aku tak sendiri ya. Cuma bisa sabar sih, mas.;1
twitter;6/3/2023 10:27;"@Heraloebss ini ngeri banget sih
https://t.co/DURlrwgLJk";1
twitter;6/4/2023 21:47;@danawallet min aku isi pulsa byu pilih pembayarannya dana, saldo dana aku udah kepotong tapi pulsanya belum masuk dan di riwayat gaada bekas transaksinya, boleh tolong dicek? terima kasih responnya;1
twitter;6/5/2023 8:47;@Telkomsel Ini lg bilang jgn panik ðŸ¤¯ðŸ¤·ðŸ»â€â™€ï¸;1
twitter;6/5/2023 18:01;@Telkomsel Kak, bisa tolong cek order kartu perdanaku ga ya? Dari pertengahan mei sampe hari ini belum ada kabar. Tanya ke cs jne katanya dikirim balik ke grapari;1
twitter;6/5/2023 20:41;@Telkomsel Telpon 188 dimintain pin Tcare. Sms minta pin Tcare sms ke 111 ga bisa padahal saya kartu halo. Sms ke 116 dibales pin 6 digit. Saya telpon lagi 188 masukin pin Tcare dibilang salah. Trus gmana ini ????????!!!!!!!!! Tolong !!!!!!!!;1
twitter;6/6/2023 12:24;@Telkomsel dulu aku beli kartu, ternyata sebelumnya wa nya da ada yang make. tu habis aku kena teror sama org sebelumnya, masalahnya org sebelumnya ni problematik kak. aku kmrn dibilang la mo dibunuh kan gila;1
twitter;6/6/2023 13:07;@Telkomsel iya banget... takut penipuan;1
twitter;6/6/2023 13:05;ðŸ’™ user telkomsel (yg gamake wifi) biasanya beli paket yang mana? mau beli tp mahal semua takut rugiðŸ˜”;1
twitter;6/6/2023 14:27;"@linebankid hai min, tolong dibantu saya sudah topup pulsa dari aplikasi M-Banking tapi aktualnya belum masuk 

Cc: @Telkomsel https://t.co/Xtm6PMlebK";1
twitter;6/6/2023 19:46;"Tolong admin terkait untuk segera blokir nomor tersebut, dikarenakan sudah banyak yg menjadi korban @Telkomsel @danawallet @ovo_id @kontakBRI @linkaja
085267593632
081325701581 https://t.co/7tZx8v7McZ";1
twitter;6/6/2023 21:38;@Telkomsel Takut kalo d tawarin pasca bayar (hallo);1
twitter;6/7/2023 3:55;Baru kali ini ...2 x sebulan beli paket gede....padahal pemakaian dikit...lama2 kok curiga ya...@Telkomsel boleh ya minta tolong ,sy rakyat biasa,jgn dicurangin ya https://t.co/y8Dw7Vy1Te;1
twitter;6/7/2023 7:39;@Telkomsel Betul min, anti angkat telfon yg gak ada namanya. Ngeri banyak penipuanðŸ¤£;1
twitter;6/7/2023 9:22;@Telkomsel saya minta tolong hubungin grapari cabang mall cijantung ke admin di instagram karena mereka ga ngasih nomor yang bisa di hubungin di cabang sana, kemarin saya urus simcard yang expired pakai ktp dan sekarang ktp saya gaada. saya mau make sure disana ada apa engga;1
twitter;6/7/2023 9:25;Telkomsel mulai menyeramkan;1
twitter;6/7/2023 21:03;@IndiHomeJBN Ngerii min apalagi fmc tsel tambah ngeri @IndiHomeJBN;1
twitter;6/7/2023 15:20;@Telkomsel mohon tolong sekali ini kenapa ya dari kemarin :) mau otp m-banking di hp gagal terus, tagihan halo udah dibayar dan setiap coba otp dibales ini, dan setiap sms ini tagihan terus naik waktu cek di my telkomsel. Mohon sangat bantuannya https://t.co/XDZOnScrRD;1
twitter;6/8/2023 0:07;buset gue kira imei gue ke blokir ternyata emang @byu_id nya aja yg bapuk UDAH PANIK INI GUE;1
twitter;6/9/2023 3:29;"RT @watiyaaa_: Min sy krbn penipuan via call wa yg ngaku pihak shopee, sy rugi bsr dr spinjam,spaylater,kredivo. Mhon bantuanny min
ini bbrâ€¦";1
twitter;6/10/2023 14:01;Panik bgt simcard ilang HUA untung pake by.u semoga bisa di ganti yg baru ðŸ¥ºðŸ¥ºhelp buruannn  @byu_id https://t.co/BMSXFh3UUU;1
twitter;6/13/2023 18:28;"Oooiiiiyyyy @Telkomsel 

Ngeri amat ya gw baru nyalain hp belum 2 menit tanpa konek wifi, mendadak di charge 25rb kayak gini

Luar biasaaaaaaaa....!!!!!

ðŸ‘ŽðŸ»ðŸ‘ŽðŸ»ðŸ‘ŽðŸ»ðŸ‘ŽðŸ»ðŸ‘ŽðŸ» https://t.co/snqiN0HwoC";1
twitter;6/13/2023 18:34;"@Telkomsel Apakah harus langsung sedot 25 ribu tanpa sedot biaya per Kb...??

Ngeri juga ya kalo 1.000 pelanggan kena sedot, bisa dapat cuan 25.000.000

Nice banget cari duitnya";1
twitter;6/20/2023 9:31;@Telkomsel Ga bisa tenang lah udah 4 hari, blgnya takut disalahgunakan makanya diblokir saya sudah konfirm itu kartu memang saya pake ttp ga bs buka blokir katanya suruh bayar dl. Tagihan belum keluar. BEDAKAN TAKUT DISALAHGUNAKAN DAN TAKUT TIDAK DIBAYAR!!!;1
twitter;6/20/2023 15:42;@Telkomsel Tidak bisa beli paket data padahal pulsa masih banyak. MyTelkomsel error. Sudah clear cache, restart handphone, uninstall-install, nggak ngaruh. Pakai *363# juga nggak bisa. Tolong kondisikan. Keadaan sedang urgent.;1
twitter;6/21/2023 20:09;"Sobat dea tolong dong ini real apa nggak ya? Iya tau ada centangnya, tpi kt tmn centang gitu bisa dibeli #penipuan #telkomsel @Telkomsel bantu dong, klo bener syg bgt 80gb kebuang sia"" https://t.co/jYBbyGYt61";1
twitter;6/21/2023 12:27;"Tinuniiinu~
@Telkomsel modus macam apa lagi ini? Maksa telepon berkali-kali dan ngakunya dari Telkomsel GraPARI pula. Tolong dibantu blok nomornya @Telkomsel ini kau nipu apa gimana. https://t.co/rDFu0rWBIX";1
twitter;6/22/2023 16:28;@Telkomsel skrg autodebet sdh dinonaktifkan, tapi bagaimana caranya agar tagihan 2bln lalu bisa kembali? 0811963678 dihubungi ga diangkat, di wa malah di block. Pemiliknya bermental copet bgt!! Tolong bantulah urusin customer telkomsel itu min ðŸ™ðŸ»;1
twitter;6/22/2023 20:36;wahai admin @byu_id tolong balas dm kuu. panik bgt nihh kuota ga masuk tapi saldo udah kepotongðŸ¥¹ðŸ¥¹ðŸ¥¹;1
twitter;6/23/2023 12:51;@tanyarlfes halo min @Telkomsel tolong ini dibantu, sy ngisi pulsa via VA BCA dr kemaren belum masuk smpe skrg. tolong direspon pake org beneran ya, gapuas sm respon otomatis yg cm bs bilang sgera ditanganin. https://t.co/cGVIMIMXsf;1
twitter;6/28/2023 8:46;@XpresiBCA min tolong jawab gimana caranya agar masuk ke aplikasi my BCA sedangkan pas saya masuk malah gk bisa katanya nomer tlpn nya harus ganti kan tadinya nomer saya XL trus nomer XL saya hangus min mau tak ganti pake no yang skrg aja yaitu TELKOMSEL mohon dijawab ?;1
twitter;6/30/2023 7:09;RAGU BGT NI NOMOR BUANG AJA GA SIHHHHHH (tsel);1
twitter;6/29/2023 9:31;@myorbitid @Telkomsel saya mau beli paket orbit kenapa hanya ada yang roaming ya? Tolong dibantu https://t.co/zHU3xsix9B;1
twitter;6/30/2023 17:28;@SPlCYBOSS pernahhh, tp situasinya beda, pas smp mantanku (co) pertama kali pacaran jd masih takut kena ciduk ortunya, selama pacaran kontak gw dia namain â€œtelkomselâ€ ðŸ˜­;1
twitter;6/30/2023 22:18;@Telkomsel Khawatir min kalo lama;1
twitter;6/30/2023 18:37;Plis bgt nih sinyal telkomsel tolong aman2 ya minimal pas ada salma rony nyaðŸ™ðŸ»;1
twitter;6/30/2023 11:55;@Telkomsel min mau aktifin paket buat di luar negeri gimana yaa tolong bantu bisa gak;1
twitter;7/1/2023 13:04;"Halo @Telkomsel ini gimana ya makin hari makin gak ngrasa aman. Barusan ada telp masuk mengaku dr Kedubes Malaysia dgn voice persis call center resmi. Meminta utk penerimanya menekan salah satu tombol. Klo orang awam bs tertipu lho ini!
Tolong ditindak dong https://t.co/KobBGCq5hS";1
twitter;7/3/2023 17:22;Admin @Telkomsel tolong cek DM ya. Saya sudah membayar tagihan KartuHalo menggunakan GoPay dan berhasil namun kemudian transaksi dianggap gagal oleh Telkomsel;1
twitter;7/5/2023 0:13;yang make Telkomsel pernah tiba tiba dapet sms kode verifikasi gak?? ini gwe dapet tbtb padhal gue gak daftar apa apa.. takut ðŸ˜­;1
twitter;7/4/2023 19:06;min tolong min @Telkomsel bales DM dong min kartu Telkomsel ku mati....ini gimana caranya biar bisa dipake lagi...ðŸ™maaf ya min ini investasi Telkomsel duit nya buat daftar PTNðŸ™ jangan ngambek min tolong bls DM ku...aku masih mau join tim;1
twitter;7/6/2023 0:46;@AremafcOfficial Halo @Telkomsel tolong no ini 082144417278 di blokir saja,kemarin modus mama minta pulsa;1
twitter;7/6/2023 19:12;"Paket uda abis dr bln lalu, pulsa apalagi..
Tp masi bisa chatting,tweeting, Instagramming sama browsing..

Kok bisa ya @telkomsel ?
Apa disedot dlu trus nanti tau2 pas isi pulsa lgsg ludes? Jdi takut euy..

Met mlm jum'at tat @jek___ , bagi pulsa cepe dong ðŸ˜¬";1
twitter;7/6/2023 12:35;telkomsel awards 2023ðŸ˜­ðŸ˜­ tolong aku mau liat xodiac... mana setia bener ama telkom gapernah ganti udah 6 tahunðŸ˜­ https://t.co/UAkVFWMnBG;1
twitter;7/7/2023 20:37;@linkaja ini mau login tapi diminta reset pin. Saat diklik reset oin selalu saja error padahal di nomor telkomsel yang lain bisa-bisa aja. Tolong bantuanya.;1
twitter;7/11/2023 1:28;@Telkomsel min saya isi pulsa pake VA BCA tapi ga masuk2 di aplikasi tsel. Tolong dibantu donk;1
twitter;7/11/2023 0:41;@Telkomsel Bisa melakukan panggilan tapi kuota tersebut sama sekali tidak berkurang, jadi khawatir malah pulsanya yang tersedot;1
twitter;7/11/2023 0:31;Halo @Telkomsel barusan saya isi pulsa pakai app mytelkomsel dan bayar pake virtual account bni, tapi kok pulsanya ga masuk2 ya? Ini bagaimana ya? Tolong dong solusinya;1
twitter;7/12/2023 20:54;selamat malam admin, tolong respon dm saya ya terkait pemblokiran sim karena hp hilang. terima kasih @Telkomsel;1
twitter;7/12/2023 19:22;Takut telkomsel sinyalnya hilang pas di venue kyk tahun lalu di tendor pas nyampe sama sekali gaada sinyal pas udah pulang baru ada sinyal. Enaknya pakai kartu apa buat di ancol besok ya?ðŸ¥¹;1
twitter;7/12/2023 10:45;@Telkomsel ini emng lg ga ada jaringan apa gmna daerah jakbar sksksksk gua takut ime gua yng kenaðŸ˜­;1
twitter;7/14/2023 6:00;Tsel ini gua mau pake mbanking susah banget gak ada sinyal ðŸ˜¡;1
twitter;7/14/2023 1:35;@Telkomsel min mau nanya waktu itu aku dapat notifikasi tanggal 8 juli 2023 klo nomer aku masa aktifnya mau mati dan dikasih waktu lagi sampai tanggal 14 juli, tapi aku lupa mau isi pulsa atau kuota kiraÂ² klo aku isi besok pagi masih sempat tidak ya? takut banget nomernya mati ðŸ˜­;1
twitter;7/14/2023 0:01;@OTMson @Telkomsel Oi itu nomer gak takut di teror ðŸ˜Œ tapi cantik gila itu nomer.. beli tahun berapa dah..;1
twitter;7/13/2023 17:37;@nafiyunnn Itu trio tower telkomsel knp https://t.co/hMlV5olxsu takut tah nanti sinyal tergangguðŸ¤£ðŸ¤£ðŸ¤£ðŸ¤£;1
twitter;7/13/2023 16:40;RT @cutiemutiepie: Ngeri bgt banyak yg komen jual tiket telkomsel tp akun LNðŸ˜©âœ‹;1
twitter;7/16/2023 22:48;Hi min @Telkomsel  Saya baru saja membeli tiket  Festival dan saya belum mendapatkan sms dari 777 , Tolong min segera di proses ðŸ™ðŸ™ #TelkomselAwards2023;1
twitter;7/16/2023 22:50;Hi min @telkomsel Aku baru saja membeli tiket festival, knap saya  belum mendapatkan Smz dri 777 dan belum mendapatkan kodenya, tolong min segera di proses;1
twitter;7/16/2023 19:28;@myorbitid @yogurtmatcha24 Pengen liat Zico dan xodiac banget tolong Telkomsel menangkan saya ðŸ˜­ðŸŒ¹ðŸŒ¹ðŸŒ¹ @AtilaWildan @GustavLonely @aa009z numpang tag yaa ðŸ¤­;1
twitter;7/19/2023 13:56;"masih galau nontkn Telkomsel Awards..
alasannya? takut zico kesepian ðŸ¥²ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚ðŸ˜‚

padahal bisa apa guaaaaaaa????";1
twitter;7/19/2023 7:24;@ZaLeSing95 Buat nyambut di bandara kak kalo bawa ini ke tsel awards malu wkwkwk;1
twitter;7/19/2023 9:18;@Telkomsel min, ini belum ada info jam dan tempat untuk redeem e-tiket menjadi tiket fisik telkomsel award kah? Cuma baru ada ket tgl  19-21 aza. Niatnya mau redeem hari ini mumpung libur, karna kalau D-Day takut ga keburu soal'a. Thx;1
twitter;7/18/2023 15:41;Ada yg nonton telkomsel award ga? Aku pengen lihat ZICOðŸ˜­ðŸ˜­ apa aku beli tiketnya trus nonton aja kali yaa, tapi takut capek banget krn besoknya itu ke ICE BSD konser Taeyeon;1
twitter;7/19/2023 22:24;Tolong banget capek sama @Telkomsel bisa gak sih nomer kita tuh gak dihubungin stranger bahkan di WA spam terus-terusan ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­;1
twitter;7/19/2023 22:22;Sama Nih Pak Gub.. Pdhl Gk Download tuh Aplikasi , kata CS @Telkomsel aman asal jgn kasih tau tuh OTP . Tapi Ngeri juga begini https://t.co/xGdaGilMdH;1
twitter;7/19/2023 19:33;@Telkomsel ini kartu saya sudah hangus tapi masa hangusnya belum habis,harus reaktivasi ulang tapi saya lupa NIK dan no KK yang digunakan kak,saya sudah ke GraPARI terdekat tapi masih belum bisa, tolong bantuannya kak;1
twitter;7/19/2023 19:09;INI GIMANAAðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ tolong cdm ya kakak adminðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ™ðŸ™ðŸ™ðŸ™ hopeless bgt akuðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜”ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ @Telkomsel https://t.co/e0fv1iwqJM;1
twitter;7/21/2023 4:31;@TelkomselHalo tolong diblokir sangat mengganggu https://t.co/1FZbcOn0Bt;1
twitter;7/21/2023 4:31;@TelkomselHalo tolong diblokir, sangat mengganggu https://t.co/kXxj9etekq;1
twitter;7/22/2023 0:59;"@Telkomsel Kak, mau tanya..
Gimana car aktifin kartu yg sudah tidak aktif ya? Baru tgl 5 kemarin habis masa tenggangnya. Tolong dibantu dongðŸ™";1
twitter;7/21/2023 19:33;"dulu suka khawatir sama koneksi internet yang suka hilang karena pindah-pindah tempat.

tapi sekarang udah engga, karena Telkomsel dan IndiHome jadi satu yang jadinya #TelkomselOne dijamin semuanya lancar.";1
twitter;7/25/2023 22:45;"-moa mo provider yg bagus di beach city apa ya? aku pake tsel katanya jele huhuhu. takut gaada sinyal buat ngabarin ortu :&lt;";1
twitter;7/25/2023 15:55;@nirwan_anestesi @Telkomsel nomernya jangan didisplay mas (tutup saja sebagian). Nanti kalau dihubungi sama tsel baru dm mereka. Twitter rules agak serem alau buat yg beginian;1
twitter;7/25/2023 18:47;"@azielemica @PandaBambu24 @tanyakanrl kaaa nanya, aku juga dapet tawaran yg 65gb 100k itu... cepet abis gasih? biasanya by.u kalau mainnya kuota ceoet abis soalnya, takut :""";1
twitter;7/26/2023 21:54;Aku mau chat byu, tp takut byu masih sibuk. Jd aku tunggu byu telp akuuu;1
twitter;7/26/2023 10:18;Aku masih takut sm byu;1
twitter;7/26/2023 13:07;@Telkomsel tolong dong ini kenapa gagal terus mau isi kuota https://t.co/KsNTvwf6MV;1
twitter;7/27/2023 1:35;Halo @Telkomsel saya membeli paket Internet Sakti via payment Shopeepay, saldonya sudah terpotong tetapi paket internetnya belum aktif sampai sekarang. Bisa tolong dibantu? Terima kasih;1
twitter;7/27/2023 22:05;COY NGERI KALI KLEAN @Telkomsel 25GB HABIS DALAM 7 HARI REALLY? https://t.co/hnCACdF83I;1
twitter;7/27/2023 9:06;Halo @Telkomsel saya membeli paket Internet Sakti via payment Shopeepay, saldonya sudah terpotong tetapi paket internetnya belum aktif sampai sekarang. Bisa tolong dibantu? Terima kasih..;1
twitter;7/27/2023 7:36;Hallo min @Telkomsel mau minta tolong dong, 2 hari kemarin saya udah bayar tagihan halo saya lewat VA tapi sampe hari ini belum terkonfirmasi pembayarannya, thx;1
twitter;7/29/2023 12:42;Min akunku belum diacc full servicenya. Minta tolong segera dibantu acc @linkaja @Telkomsel;1
twitter;7/29/2023 12:18;Min akunku belum diacc full servicenya. Minta tolong segera dibantu acc @Telkomsel @linkaja;1
twitter;7/29/2023 10:45;@Telkomsel tolong dibantu, saya beli paket internet bonus primevideo, tetapi setelah aktivasi subscription-nya tidak masuk ke app primevideonya.;1
twitter;7/30/2023 17:48;@Telkomsel minn tolong aku dong. Mamah aku gak bisa SMS nenek gak tau kenapa. Tapi mamah bisa SMS aku. Aku pikir nomor nenek aku yang kadaluarsa. Pas aku SMS nenek aku ternyata bisa dan dijawab. itu kenapa ya? Tolong banget soalnya itu cara kami komunikasi sama dia.;1
twitter;7/31/2023 11:29;Saya tidak pernah menggunakan Allobank dan saya merasa terganggu dgn sms-sms tersebut. Saya ingin withdraw nomor saya dari sms-sms promosi dari Allobank dan/atau partner2 telkomsel yang lain. Tolong diproses ya request withdrawal saya @Telkomsel;1
twitter;8/1/2023 23:06;@Telkomsel Tolong min, ini saya mau tutup kartu halo om saya, yg sudah meninggal.. terus masalah nya KTP sya masih hilng.. blm sempat ngurus... Udh 3 kali bolak balik GraPARI. Giliran datang pagi, Bru minta KTP. Pas kemrin2 nggak minta, langsung di daftarkan nmr antrian..;1
twitter;8/1/2023 20:13;TERUS HABIS MAGRIB MATLISSSS WKJEJSJSJJSJJAAJ SEBAAAL mana gaada download tontonanðŸ˜­ mana telkomsel nih kalau matlis ikut gaada sinyal... ngeselin banar tapi aku males make kartu lain.. takut mati ni nomer utamaðŸ˜­ðŸ˜­ðŸ˜­ https://t.co/gVYmcdaPna;1
twitter;8/1/2023 17:17;@Telkomsel Ok, tak kirain bakal susah sinyal setelah tanggal 2;1
twitter;8/1/2023 16:50;@Telkomsel Min, ini maksudnya apa ya? Setelah tanggal 2 apakah akan susah sinyal atau gmna? https://t.co/Mr06y67C4J;1
twitter;8/1/2023 15:21;@TelkomselHalo halo min saya udah payment pascabayar dari 3 hari yg lalu ini kenapa gak bisa dipake ya? Tolong segera perbaiki;1
twitter;8/2/2023 18:38;"min tolong cek dm. nomor teleponnya gaada sinyal itu masa aktifnya udah lewat kah?

kalo iya bisa diaktifin lagi engga ya? @Telkomsel";1
twitter;8/3/2023 17:15;@Telkomsel Oke ana tunggu bos, percakapan ana ss, soalnya takut terjadi apa2 pake nomor itu, ana udh usaha bwat konfirm tpi pelayanan lama. Ngeri Hacker jaman skrg leluasa berselancar dimana2 ðŸ™‚.;1
twitter;8/4/2023 11:41;telkomsel kenapa tiba-tiba hilang sinyal plis panik dikit ðŸ¤ðŸ»;1
twitter;8/5/2023 22:33;@Telkomsel  cmon, ini malah ilang lagi sinyalnya. Sebenernya ada yg salah dengan nomorku atau bagaimana ini? Tolong dong di jelasin, udah lelah ditanya ini itu tapi gak ada solusinya. Ujung2nya cuman disuru nunggu dan telpon ke 188. Aku yg rugi aku juga yg ribet. https://t.co/Kcr0pqlyrX;1
twitter;8/5/2023 18:35;tolongggh @Telkomsel ini knapa jaringan gw lemot trus siii dari tadi malem, apa masalahnya di kartu gw yaaa??? TOLONG DONGGGH, stress saya ga bisa maen semuanyahhhh!!!;1
twitter;8/6/2023 21:07;@Telkomsel halo min, boleh tolong cek kan NIK saya terdaftar di nomor tsel/byu mana saja? Karena yg aktif hanya 1 saja. Saat mau daftar kartu baru ada peringatan limit;1
twitter;8/7/2023 15:28;Halooo @Telkomsel tolong dong ini gimana caranya biar ga banyak spam telpon penipuan dan pinjol yg nagihin utang orang lain. Percuma diblokir karna bakal banyak nomor baru. Capek bener hayati sampe seminggu kudu non-aktifin nomorðŸ˜­;1
twitter;8/7/2023 12:16;"@Telkomsel tolong dong ini udah 2 jam sinyal E terus, cek DM.
udah telfon call center nihil tetep aja gabisa.";1
twitter;8/8/2023 10:21;"@byu_id @AREAJULID Mauuu cerita tapi malu, takut org nya baca...
Wkwkw
Aku ceritain....";1
twitter;8/8/2023 18:38;@NerazzurriFans cuma masi nanya ke tsel ini mobile apa bukan... deskripsinya gajelas takut gabisa dipake di tv https://t.co/GbIgJxjOs7;1
twitter;8/8/2023 19:57;Tolong Telkomsel kali ini bantu akooo war dan bca pleasee jangan errorr ðŸ˜­;1
